0,1,2,3
DeKalb County Sheriff’s Office,AL,11-50,This organization did not respond to a request for comment.
Dothan Police Department,AL,11-50,This organization did not respond to a request for comment.
Elmore County Sheriff’s Office,AL,6-10,This organization did not respond to a request for comment.
Enterprise Police Department,AL,11-50,This organization did not respond to a request for comment.
Enterprise State Community College,AL,51-100,This organization did not respond to a request for comment.
Eufaula Police Department,AL,51-100,"“I checked with the detectives and it appears they did do a free trial or partnered with another agency on something.” —Steve Watkins, police chief"
Foley Police Department,AL,11-50,This organization did not respond to a request for comment.
Franklin County Sheriff’s Office,AL,11-50,This organization did not respond to a request for comment.
Fultondale Police Department,AL,1-5,This organization did not respond to a request for comment.
Gadsden Police Department,AL,1-5,This organization did not respond to a request for comment.
Glencoe Police Department,AL,1-5,This organization did not respond to a request for comment.
Hanceville Police Department,AL,1-5,This organization did not respond to a request for comment.
Helena Police Department,AL,51-100,This organization did not respond to a request for comment.
Hoover Police Department,AL,11-50,This organization did not respond to a request for comment.
Hueytown Police Department,AL,1-5,This organization did not respond to a request for comment.
Irondale Police Department,AL,101-500,This organization did not respond to a request for comment.
Jacksonville State University,AL,6-10,This organization did not respond to a request for comment.
Jasper Police Department,AL,11-50,This organization did not respond to a request for comment.
Jefferson County Sheriff’s Office,AL,101-500,This organization did not respond to a request for comment.
Jefferson County Sheriff’s Office: Metro Area Crime Center,AL,1001-5000,This organization did not respond to a request for comment.
Jefferson State Community College Police Department,AL,11-50,This organization did not respond to a request for comment.
Lamar County,AL,11-50,This organization did not respond to a request for comment.
Madison City Police Department,AL,11-50,"“We tried the product as a demo for two weeks. We chose not to subscribe to the system.” —Dave Jernigan, police chief (now retired)"
Madison County,AL,101-500,This organization did not respond to a request for comment.
Marengo County Sheriff’s Office,AL,11-50,This organization did not respond to a request for comment.
Marion County Sheriff’s Office,AL,6-10,This organization did not respond to a request for comment.
Mobile County Sheriff’s Office,AL,101-500,This organization did not respond to a request for comment.
Mobile Police Department,AL,11-50,"“We have no department-led initiatives or procurements utilizing the software or application you are referencing. We checked with all the commanders and they say either no one under their command has used the software or are not familiar with it.” —Charlette Solis, public affairs manager"
Monroe County,AL,6-10,This organization did not respond to a request for comment.
Montgomery Police Department,AL,501-1000,"“Due to policy and precedent, the City of Montgomery/Montgomery Police Department cannot comment on investigative techniques.” —Griffith Waller, spokesperson"
Moody Police Department,AL,11-50,This organization did not respond to a request for comment.
Moulton Police Department,AL,1-5,This organization did not respond to a request for comment.
Muscle Shoals Police Department,AL,51-100,This organization did not respond to a request for comment.
Opelika Police Department,AL,51-100,This organization did not respond to a request for comment.
Opp Police Department,AL,6-10,This organization did not respond to a request for comment.
Ozark Police Department,AL,1-5,"“Never used the product.” —Marlos Walker, police chief"
Pell City Police Department,AL,101-500,This organization did not respond to a request for comment.
Prattville Police Department,AL,101-500,This organization did not respond to a request for comment.
Russellville Police Department,AL,11-50,This organization did not respond to a request for comment.
Scottsboro Police Department,AL,11-50,This organization did not respond to a request for comment.
Shelby County Sheriff’s Office,AL,51-100,This organization did not respond to a request for comment.
St. Clair County Sheriff’s Office,AL,11-50,This organization did not respond to a request for comment.
Sumter County,AL,11-50,This organization did not respond to a request for comment.
Talladega County,AL,1-5,This organization did not respond to a request for comment.
Tarrant Police Department,AL,101-500,This organization did not respond to a request for comment.
Town of Lake View,AL,1-5,This organization did not respond to a request for comment.
Troy Police Department,AL,51-100,This organization did not respond to a request for comment.
Trussville Police Department,AL,101-500,This organization did not respond to a request for comment.
Tuscaloosa County,AL,101-500,This organization did not respond to a request for comment.
Tuscaloosa Police Department,AL,11-50,This organization did not respond to a request for comment.
University of Alabama at Birmingham,AL,51-100,"“UAB has no contracts to access Clearview AI, and we are aware of no use of this technology on behalf of the institution.” —Tyler Greer, assistant vice president for public relations"
University of Alabama: Joint Electronic Crimes Task Force,AL,101-500,This organization did not respond to a request for comment.
University of West Alabama,AL,1-5,This organization did not respond to a request for comment.
Winfield Police Department,AL,11-50,This organization did not respond to a request for comment.
Winston County Sheriff’s Office,AL,6-10,This organization did not respond to a request for comment.
Arkansas Attorney General,AR,1-5,"“Arkansas Attorney General’s office has never used that tool.” —Stephanie Sharp, deputy communications director"
Benton County Sheriff’s Office,AR,11-50,"“I have dug into this a little deeper. We have used this, however, we have not made an arrest off of an ID.” —Shannon Jenkins, public information officer"
Bentonville Police Department,AR,11-50,This organization did not respond to a request for comment.
Bryant Police Department,AR,11-50,This organization did not respond to a request for comment.
Centerton Police Department,AR,6-10,This organization did not respond to a request for comment.
Conway Police Department,AR,11-50,"“I have checked with our CID and patrol majors and learned we have NOT used this technology.” —LaTresha Woodruff, public information officer"
Farmington Police Department,AR,51-100,This organization did not respond to a request for comment.
Fayetteville Police Department,AR,101-500,This organization did not respond to a request for comment.
Hot Springs Village Police Department,AR,11-50,This organization did not respond to a request for comment.
Little Rock Police Department,AR,1-5,This organization did not respond to a request for comment.
North Little Rock Police Department,AR,51-100,This organization did not respond to a request for comment.
Russellville Police Department,AR,51-100,This organization did not respond to a request for comment.
Saline County Sheriff’s Office,AR,11-50,This organization did not respond to a request for comment.
Apache Junction Police Department,AZ,1-5,This organization did not respond to a request for comment.
Arizona Attorney General,AZ,1-5,"“The Arizona Attorney General’s office does not use Clearview AI or any facial recognition technology due to privacy concerns. We have no record of anyone at our office signing up for a free trial or demo and have looked into the matter thoroughly.” —Ryan Anderson, spokesperson"
"Arizona Department of Corrections, Rehabilitation & Reentry",AZ,51-100,“ADCRR does not use Clearview AI.” —spokesperson
Arizona Department of Public Safety,AZ,51-100,"“Our facial recognition unit did utilize the software for a short period of time during the free trial period. The unit is not currently using the software. The use of the software by the facial recognition unit did not yield any arrests.” —Bart Graves, spokesperson"
Chandler Police Department,AZ,11-50,"“After speaking with various units and administrators the Chandler Police Department does not use or is contracted in anyway with Clearview AI. If by chance officers are signing up for a 30 day trial and using the program, which I can’t verify, we would be unable to confirm this with you without reviewing Clearview AI records. Chandler PD (AZ) has over 350 officers, so checking with each one about this would be impossible.” —Sgt. Jason A. McClimans, spokesperson"
Chino Valley Police Department,AZ,11-50,"“My agency does not have any type of facial recognition software. If we have a need for it we send the cases to either the Arizona Department of Public Safety or Rocky Mountain Information Network. I have double checked with all my investigators, including the ones assigned to off-site task forces and no one is using any software programs outside of the two intelligence agencies I mentioned before.” —Charles Wynn, police chief"
Gilbert Police Department,AZ,1-5,"“Through our continued search, we found that one detective had signed up for a free trial during the timeframe that you had seen on your end, right around mid-September of 2019. He no longer has access to the software, but he believes that he used it for a sexual exploitation case he was assigned to that ultimately, did not result in any new leads for the case. He believes he would have submitted a small number of photos through the software but did not have the official number as he does not have access to the software.” —Brenda Carrasco, spokesperson"
Glendale Police Department,AZ,11-50,"“GPD has used it to both identify suspects/ILs and also to find social media accounts for known suspects. We are still using Clearview. Yes it has assisted in an arrest. Individuals in a stolen car were involved in a hit and run accident where they ditched the vehicle and then went into a local business and attempted to steal the keys/car of an employee there, and also robbed several patrons. The female suspect was apprehended and stated that she only knew the first name of the male suspect. Upon searching the stolen car, there were several IDs found which had different names, but the same picture of a male who matched the suspect description. That picture was entered into Clearview which gave a return of a male with the same name that the female had given. That male was identified and was found to have several felony warrants. He was later apprehended without incident.” —Sgt. Randy Stewart, public information officer"
Maricopa County Sheriff’s Office,AZ,51-100,"“DPS obtained a trial of this facial recognition program and our MCSO analysts helped them review the product back in February of this year. We didn’t use it on a specific individual or case.” —Norma Gutierrez-Deorta, spokesperson"
Maricopa Police Department,AZ,1-5,This organization did not respond to a request for comment.
Mesa Police Department,AZ,101-500,"“I spoke with a Sgt. in our Fusion center who stated they did test the software, but made a determination that it wasn’t something our department wanted to bring on board.” —Officer Lee Coking"
Phoenix Police Department,AZ,101-500,"“I am not aware of any arrests which were a result of Clearview technology. Additionally, the Phoenix Police Department does not have a contract with this company.” —Sgt. Mercedes Fortune, public information officer"
Pinal County Attorney’s Office,AZ,11-50,"“The Pinal County Attorney’s Office was given access to Clearview AI’s software on a trial basis. After review, or office did not purchase a license for Clearview AI. Clearview AI has not been used in an active case by our agency.” —Trevor Smith, public information officer"
Pinal County Sheriff’s Office,AZ,1-5,"“There is none to my knowledge. I have checked with our IT department and they say no as well.” —Matthew Thomas, chief deputy"
Rocky Mountain Information Network,AZ,1-5,This organization did not respond to a request for comment.
Scottsdale Police Department,AZ,501-1000,"“We used this software on a 30-day free trial basis approximately two years ago. We did not purchase the software and we discontinued its use.” —Ben Hoster, spokesperson"
Surprise Police Department,AZ,11-50,“We are not aware of any of our staff using ‘Clearview AI.’” —Cmdr. Philip Johnson
Tucson Police Department,AZ,51-100,"“Our department does not use this program...I asked around all the way up the chain to our chiefs and we have no official work or partnership with this company. It could be a thing like Facebook, where our officers have profiles but we can’t track that. But officially, we do not use this software.” —Frank Magos, spokesperson"
Wickenburg Police Department,AZ,6-10,This organization did not respond to a request for comment.
Alameda County District Attorney’s Office,CA,11-50,"“We are a DA’s Office, not a police agency.” —Teresa Drenick, assistant district attorney"
Alameda County Sheriff’s Office,CA,101-500,"“My understanding was we don’t use this.” —Sgt. Ray Kelly, public information officer"
Alameda Police Department,CA,501-1000,"“They advise that they are not familiar with the product and that they do not have any responsive information ... While we have not located any agreements, the City has searched its archived emails and we have located some records.” —Alan Cohen, assistant city attorney"
Anaheim Police Department,CA,11-50,"“I spoke with all of our investigative units and one unit said they briefly used a free version of the software several years ago and made no arrests with it.” —Sgt. Shane Carringer, public information officer"
Anderson Police Department,CA,51-100,This organization did not respond to a request for comment.
Antioch Police Department,CA,101-500,"“After a check of our records and email from our Investigations Lieutenant, it was determined we currently have an account subscription for the services of Clearview Al for our Investigations Division, until the end of the year. Clearview Al is only used as an investigative tool. Our subscription allows us a limited amount of accounts for use by our detectives. An arrest has not been affected based on a search from Clearview Al.” —Lynn Dansie, records supervisor"
Apple Valley Police Department,CA,6-10,This organization did not respond to a request for comment.
Arcadia Police Department,CA,51-100,"“We do not have a contract with Clearview, and my research suggests that personnel might have used the software during a free trial period earlier this year without advising senior administrators of that use. My personnel are not currently using Clearview from what I’ve gathered, and I did not find any arrests related to the trial period earlier this year.” —Bob Guthrie, police chief"
Atascadero Police Department,CA,11-50,This organization did not respond to a request for comment.
Baldwin Park Police Department,CA,11-50,This organization did not respond to a request for comment.
Beverly Hills Police Department,CA,6-10,“Our crime analyst accessed the program by logging onto the website... We received a 90 day trial. The 90 day trial is over.” —Lt. Max Subin
Brentwood Police Department,CA,11-50,This organization did not respond to a request for comment.
Burbank Police Department,CA,11-50,"“The Burbank Police Department participated in a trial run with Clearview AI as part of a demo period. The Department did not partner with Clearview AI beyond the trial run. Clearview AI was utilized in the course of at least one investigation by the Burbank Police Department.” —Sgt. Derek Green, public information officer"
California Bureau of Automotive Repair: Enforcement Division,CA,1-5,"“The Department of Consumer Affairs does not use and is not in contract with Clearview AI now or at any time in the past. We’re not aware of any facial recognition software being used to support an arrest. If an individual associated with DCA was offered a free trial in the past, it was not used in an official investigatory capacity.” —Matt Woodcheke, Office of Public Affairs manager"
California Department of Corrections and Rehabilitation,CA,101-500,"“The CA Department of Corrections and Rehabilitation has reviewed its files and has determined our Office of Internal Affairs (OIA) purchased the Clearview AI Facial Recognition Software in April 2020. The software has been utilized in three cases and was used to attempt to identify subjects of interest in active investigations. No arrests were made. The Office of Internal Affairs purchased two user accounts for Clearview AI Technology for a total of $3,540.00 for 17 months. The technology was used in furtherance of OIA investigations and no further investigatory details can be released.” —Kayla Ronzone, spokesperson"
California Department of Fish and Wildlife,CA,6-10,“The California Department of Fish and Wildlife Law Enforcement Division does not use Clearview AI or any other kind of facial recognition technology.” —Capt. Patrick Foy
California Department of Health Care Services,CA,1-5,"“DHCS has identified one employee who accessed Clearview as part of a free trial offered through a state-approved training course. The employee tested the service by searching for a known suspect in a fraud case. The query did not produce information to advance the investigation, and the fraud case was completed without Clearview-generated data or supporting information.” —Anthony Cava, spokesperson"
"California Department of Justice, Attorney General’s Office, Law Enforcement Division",CA,51-100,"“The Department has not authorized the use of facial recognition software. Out of an abundance of caution, the department has blocked access to the website.” —Attorney General’s Office spokesperson"
California Department of Toxic Substances Control,CA,1-5,"“DTSC has not approved or procured the use of this software.” —Barbara Zumwalt, information officer"
California Employment Development Department,CA,11-50,This organization did not respond to a request for comment.
California Governor’s Office of Emergency Services,CA,11-50,"“Our agency does not use this technology.” —Brian Ferguson, deputy director for crisis communications"
California Highway Patrol,CA,501-1000,"“The California Highway Patrol does not have, nor has it ever had, a contract for the use of this technology as an investigative tool by department employees.” —Fran Clader, director of communications"
"California State University, Long Beach Police",CA,1-5,"“It was used to search for suspects of crimes committed on campus. We used it for 30 days, the free trial of July 2019. Did not purchase and renew. We did not apprehend anyone and [Clearview AI] was not especially helpful... The detective who logged in once does not remember looking for a specific suspect, but logged on to review the platforms capabilities and did not use it again. There is no other facial recognition technology we’ve used on campus.” —Lauren Williams, senior communications counsel"
Carlsbad Police Department,CA,51-100,This organization did not respond to a request for comment.
Chula Vista Police Department,CA,11-50,"“It appears a small number of officers took advantage of an email solicitation to try the software for free, which is what your research showed with other agencies. From what I can determine, the officers downloaded the program onto their desktops in 2019 and used it to investigate school violence threats on social media in an attempt to determine whether the individuals associated with the threats were in our jurisdiction so officers could follow up with school officials and parents. Neither of the free trials were renewed nor used in 2020.” — Capt. Eric Thunberg"
City of Manhattan Beach,CA,101-500,"“I do not believe the City of Manhattan Beach has any services with Clearview but I will confirm with our purchasing department and get back to you.” —Martha Alvarez, senior deputy city clerk"
City of Torrance,CA,501-1000,This organization did not respond to a request for comment.
Claremont Police Department,CA,51-100,"“We have an officer assigned to LA IMPACT, a multi-agency crime task force, who has used Clearview AI as an investigative tool. LA IMPACT is the entity that uses Clearview AI and controls the access and audits for that program. Clearview AI is not a program that is used within the Claremont Police Department and therefore does not have any records associated for this request. Additionally, our officer indicates that the use of Clearview AI has not led to any arrests associated with any Claremont Police Department crime reports.” —Lt. Michael Ciszek"
Contra Costa County Sheriff’s Office,CA,11-50,"“The Contra Costa Sheriff’s Office itself has never used Clearview AI.” —Jimmy Lee, public information officer"
Contra Costa District Attorney’s Office,CA,11-50,"“We confirmed one senior inspector used Clearview AI on a brief trial basis in December 2019. We used the database for investigative purposes. After the trial period the senior inspector did not purchase an account with Clearview AI and as I stated previously our Office has never paid for one.” —Scott Alonso, public information officer"
Costa Mesa Police Department,CA,101-500,"“The Costa Mesa Police Department used Clearview AI as a potential investigative tool during a 30-day trial about six to seven months ago. At the end of the trial, we did not subscribe to the software nor do we currently use it, and we will not be pursuing it. We did not collect data solely to track if the software generated leads that might have led to an arrest.” —Roxi Fyad, public affairs manager"
Culver City Police Department,CA,101-500,This organization did not respond to a request for comment.
Cypress Police Department,CA,11-50,"“I checked throughout our department on the different investigative tools as well as with personnel with the likelihood to utilize this software, however, we have no record of using it.” —Lt. Scott Ausmus, public information officer"
Danville Police Department,CA,101-500,"“The Danville Police Department used Clearview AI on a trial basis earlier this year and no longer has access to any records or data.” —Allan Shields, police chief"
Dixon Police Department,CA,6-10,This organization did not respond to a request for comment.
El Cajon Police Department,CA,11-50,"“I was not familiar with Clearview AI, so I started asking staff in our investigations division. I was told that in 2019, an investigative association offered a free 30 day trial at one point, but none of the current staff used it on any investigations. There has been some staff rotations over the last two years.” —Rob Ransweiler, support bureau captain"
El Dorado County Sheriff’s Office,CA,6-10,"“I have already inquired with all of the divisions that would have been involved in this type of software application and I have located nothing.” —Sgt. Eric Palmberg, public information officer"
El Monte Police Department,CA,1-5,“We have reached out to our investigators and detectives assigned to federal taskforces and none of them have any recollection of Clearview AI. I reached out to my IT division and asked they search our records for access from our internet connection. That also showed no access over the last six months.” —Capt. Chris Williams
El Segundo Police Department,CA,101-500,“Yes [officers are currently using Clearview AI].” —Capt. Jaime Bermudez
Elk Grove Police Department,CA,51-100,"“The Elk Grove Police Department did create an account to evaluate the platform, ultimately we determined it did not meet our needs. The platform has not been utilized in any of our investigations.” —Hannah Gray, public information officer"
Emeryville Police Department,CA,11-50,"""I checked into it and we were offered a free 30-day trial in 2019. We did not opt to continue the service and the 30-day trial ended with no noteworthy uses of the system during that time. We do not have any other instances of access to the Clearview AI system."" —Capt. Oliver Collins"
Escondido Police Department,CA,6-10,"“Upon further inquiry, it was determined that a detective used a free trial of Clearview software. One of our detectives is assigned to work part-time with a Human Trafficking Task Force. This detective received information from the Task Force about victims that were possibly being trafficked. The only lead was a photograph. Our detective used the free trial to attempt to identify these victims in an effort to ensure their safety. The software did not provide any leads. The trial expired and the software was not used further.” —Julie D. Johnson, police records supervisor"
Folsom Police Department,CA,11-50,“I heard back from one of my detectives. He and 2 other detectives heard about the program and got a free trial. They ran test searches on themselves and friends. One detective tried to use it in an investigation but did not get any results. The detectives decided not to continue using it. They are not currently using the software and have not since testing it.” —Lt. Andrew Bates
Fremont Police Department,CA,6-10,"“They offered a 30-day demo to our department in October 2019, however no one is currently using the system (we did not sign on/subscribe) and don’t believe we made any arrests during the trial. During the 30 day trial a fraud detective used the service and found images of suspects in various scams, but again I don’t believe we made any arrests.” —Geneva Bosques, interim chief communications officer"
Fresno County Sheriff’s Office,CA,51-100,"“I reached out to several people and was able to identify one detective who signed up for the trial version in 2019. They cleared it with their supervisor and was basically the guinea pig for our agency. They did not find any value in the program to help us with any of our investigations, so they discontinue[d] their trial use.” —Tony Botti, public information officer"
Fresno Fire Department,CA,11-50,This organization did not respond to a request for comment.
Fresno Police Department,CA,11-50,This organization did not respond to a request for comment.
Gardena Police Department,CA,101-500,This organization did not respond to a request for comment.
Gilroy Police Department,CA,11-50,This organization did not respond to a request for comment.
Glendale Police Department,CA,1001-5000,"“The Glendale Police Department used Clearview AI for a limited trial period. At the end of the trial period, we decided not to purchase Clearview AI. During the trial period, Clearview AI was mostly used to try to identify persons of interest in various investigations. From my understanding, the use of Clearview AI alone has never led to an arrest by the Glendale Police Department.” —Sgt. Christian Hauptmann, public information officer"
Glenn County Sheriff’s Office,CA,6-10,"“After a diligent search, we have been unable to locate any record of the use of Clearview AI. As far as we know, we have not used Clearview AI, and it is possible that any associated use by a member of our agency that you may have record of could be from a previous employee. The Department has never authorized the use of Clearview AI, and we have no record of any person(s) being arrested or prosecuted utilizing Clearview AI.” —Jillian R. Hughes, administrative services officer"
Hamilton Police Service,CA,101-500,"“Hamilton Police were provided with log-in credentials for Clearview AI as part of a trial. Hamilton Police have not used Clearview AI for investigative purposes.” —Jackie Penman, spokesperson"
Hanford Police Department,CA,51-100,“We have never heard about it. We don’t use this as a department or pays for it. As an official capacity we have not approved this as a vendor and to my knowledge we did not approve for use of it.” —Capt. Karl Anderson
Hemet Police Department,CA,101-500,“I have never heard of Clearview AI and am not aware of any member of this department ever using it.” —Lt. Eric Dickson
Hercules Police Department,CA,1-5,"“We did try Clearview AI on a 30 day trial basis in our investigations unit. They were not impressed with the product so we decided not to purchase it after the 30 day free trial ended. No search from Clearview ever led to an arrest.” —William Imboden, police chief"
Huntington Beach Police Department,CA,501-1000,"“Huntington Beach Police Department detectives utilized Clearview AI’s program during a free trial period; however, Clearview AI has not been utilized since the free trial expired.” —Brian Smith, public information officer"
Inglewood Police Department,CA,1001-5000,This organization did not respond to a request for comment.
Irvine Police Department,CA,6-10,"""We have learned that two of our detectives signed up for a free trial with Clearview AI and utilized the software in an effort to identify suspects in criminal investigations. No suspects were identified and no arrests were made as a result of the use of Clearview AI. The detectives are no longer using Clearview AI as an investigative tool."" —Cmdr. Noelle Smiley"
Kern County Probation Department,CA,11-50,"“There are no records responsive to this request. Probation has conducted a diligent search for records and locate none. Additionally, Probation has examined devices for the Clearview AI application and found no instances of application instillation.” —Frank Herrera, assistant probation division director"
Kern County Sheriff’s Office,CA,11-50,"“The KCSO does not have or use Clearview AI...It was only used during a 60-day free trial. The two investigators that used this product during the free trial made between 30-40 inquiries combined. None of their searches were successful and no arrests were made from the use of this software.” —MaryClaire Walsh, civil litigation coordinator"
La Habra Police Department,CA,51-100,“I reviewed our records and determined that La Habra Police Department had two Detectives test and evaluate Clearview AI. After evaluating the program we determined it did not fit the needs of our department and no longer use it. The program was not used to solve a crime or make an arrest.” —Capt. Adam Foster
La Palma Police Department,CA,6-10,This organization did not respond to a request for comment.
Lake County Sheriff’s Office,CA,11-50,“I am not aware of this software being used by anyone with our agency. If you can provide more details such as a names and dates I can try to find out more information. Our agency does not have a contract with Clearview AI.” —Lt. Corey Paulich
Livermore Police Department,CA,51-100,"“It is one that we have used in the past. But declining to comment.” —Art Rosas, spokesperson"
Long Beach Police Department,CA,101-500,"“Clearview AI was tested on a free trial basis. The trial has since concluded. No individuals still use Clearview and we do not keep records related to Clearview searches.” —Brandon Fahey, public information officer"
Los Angeles Airport Police,CA,1-5,This organization did not respond to a request for comment.
Los Angeles County Probation Department,CA,6-10,“I’ve asked several units and they’ve all said they do not use this type of software.” —department spokesperson
Los Angeles County Sheriff’s Department,CA,501-1000,This organization did not respond to a request for comment.
Los Angeles Interagency Metropolitan Police Apprehension Crime Task Force,CA,11-50,"""Decline to comment."" —Chuck Balo, acting executive director"
Los Angeles Police Department (LAPD),CA,101-500,"“When you brought to our attention that we had employees who used Clearview, we put out a notice directing employees that they can’t use third-party software. We are in the process of putting out a larger, formal policy as we speak.” —Horace Frank, assistant chief overseeing special operations"
Madera Police Department,CA,11-50,This organization did not respond to a request for comment.
Manteca Police Department,CA,11-50,"“I have not been able to track down anyone at our department who has used that software. We have no record of it. We have had numerous employees retire, leave or get fired in the last couple of years and it is possible it could have been one of them.” —Capt. Charles Goeken"
Mariposa County,CA,11-50,"“We have not been able to locate a situation where we used this technology. We have contacted all divisions within our office that would have used this technology, they have not utilized this software.” —Kristie Mitchell, public information officer"
Merced County Human Services Agency,CA,1-5,This organization did not respond to a request for comment.
Milpitas Police Department,CA,101-500,"“One sergeant briefly used a demo in mid-2019. Individuals are not still using the software and it did not lead to any arrests.” —Annie Loo, counsel"
Monterey County Sheriff’s Office,CA,6-10,This organization did not respond to a request for comment.
Monterey Police Department,CA,6-10,“We do not have a contract with Clearview and we never had a contract with them. Some detectives had tried the program and found that it wasn’t very useful and did not pursue it any further. To my knowledge nobody is using it at the department and it has not led to an arrest.” —Lt. Michael Bruno
Mountain View Police Department,CA,101-500,"“We do NOT use Clearview AI. We were on a one-month free trial with the company in 2019, however we decided not to purchase a subscription given the questions surrounding privacy concerns from the general public. We have never based an arrest on identification of a subject from this software. We followed the articles in the press about concerns people had and didn’t think it was worth investing a large amount of money to potentially bring such concern into our community.” —Katie Nelson, public information officer"
Napa Special Investigations Bureau,CA,11-50,"“We do not use Clearview AI. We had an offer to trial the product, however we did not approve the request.” —Capt. Chris Carlisle"
Newport Beach Police Department,CA,101-500,"“We have not used that product.” —Heather Rangel, press information officer"
Northern California Computer Crimes Task Force,CA,101-500,"“A police investigator with our unit did use this product in November of 2019 to assist in the identity of a suspect in a felony theft investigation. This was the only time this tool was used and has not been used since. This particular case is still under investigation and no arrest has been made.” —Earl Titman, investigations supervisor for the Marin County District Attorney’s Office"
Northern California Regional Intelligence Center,CA,1-5,This organization did not respond to a request for comment.
